host_iso,host_ns,line
2026-07-16T19:04:04.122326+00:00,11144419958,"CSI,A1,4638,fe:e3:be:47:e1:f0,-48,0,4,581637568,64,70,1,25,19,16,14,16,21,25,28,30,32,30,29,26,25,22,16,14,11,8,8,10,12,14,16,16,0,0,0,0,0,0,0,0,0,0,0,4,5,8,11,13,16,18,21,22,23,23,22,18,15,12,9,10,15,20,27,31,37,40,43,42,43"
2026-07-16T19:04:04.132377+00:00,11154473000,"CSI,A1,4639,fe:e3:be:47:e1:f0,-45,0,4,581646785,64,70,1,14,10,7,4,6,8,11,14,14,15,15,15,13,13,11,9,7,5,3,3,2,3,4,5,7,0,0,0,0,0,0,0,0,0,0,0,4,5,7,8,9,10,11,12,11,12,11,11,8,6,4,4,7,9,13,16,18,21,23,22,24,22"
2026-07-16T19:04:04.911723+00:00,11933732083,"CSI,A1,4640,fe:e3:be:47:e1:f0,-45,0,4,582424243,64,117,5,19,11,7,10,16,21,25,29,31,31,30,29,26,22,18,14,8,4,2,5,6,9,11,14,15,0,0,0,0,0,0,0,0,0,0,0,9,12,15,16,19,20,21,22,22,21,18,15,11,6,4,10,17,23,29,34,38,42,43,44,43,38"
2026-07-16T19:04:06.905438+00:00,13927269166,"STAT,A1,584534,10028,4640,4640,0,215172"
2026-07-16T19:04:08.059913+00:00,15081632583,"CSI,A1,4641,fe:e3:be:47:e1:f0,-45,0,4,585572753,64,117,5,19,11,7,10,15,21,26,29,30,31,31,29,27,23,18,15,9,4,2,4,6,9,11,14,16,0,0,0,0,0,0,0,0,0,0,0,8,12,14,17,19,21,22,21,22,21,19,15,11,6,5,10,17,24,29,34,39,42,44,44,43,40"
2026-07-16T19:04:08.878501+00:00,15900146708,"CSI,A1,4642,fe:e3:be:47:e1:f0,-46,0,4,586391070,64,117,5,16,9,7,12,18,23,27,30,31,31,29,27,24,21,17,12,7,4,3,5,9,11,13,14,15,0,0,0,0,0,0,0,0,0,0,0,7,9,12,15,17,18,20,21,22,20,19,16,12,7,5,8,14,21,26,31,36,40,40,41,40,37"
2026-07-16T19:04:09.051291+00:00,16072920750,"CSI,A1,4643,fe:e3:be:47:e1:f0,-46,0,4,586564448,64,117,5,18,11,8,12,18,22,27,30,31,32,31,29,26,23,18,13,8,5,2,5,7,10,12,14,16,0,0,0,0,0,0,0,0,0,0,0,9,12,14,17,19,21,21,22,21,20,18,14,10,6,6,12,17,24,29,34,39,42,43,44,42,38"
2026-07-16T19:04:09.396234+00:00,16417868000,"CSI,A1,4644,fe:e3:be:47:e1:f0,-46,0,4,586909466,64,117,5,19,13,9,13,18,23,26,30,32,32,32,29,27,24,20,15,10,6,4,4,7,10,12,14,15,0,0,0,0,0,0,0,0,0,0,0,8,11,14,17,18,20,21,22,22,21,19,16,11,8,6,10,16,22,29,34,38,41,43,44,43,40"
2026-07-16T19:04:09.570747+00:00,16592380375,"CSI,A1,4645,fe:e3:be:47:e1:f0,-45,0,4,587084587,64,117,5,17,11,9,13,19,23,26,28,29,30,31,29,26,22,19,14,10,6,3,4,7,10,12,14,15,0,0,0,0,0,0,0,0,0,0,0,9,11,14,16,18,19,20,21,21,19,17,14,9,6,7,10,16,21,28,33,37,40,40,41,40,37"
2026-07-16T19:04:10.013407+00:00,17034953000,"CSI,A1,4646,fe:e3:be:47:e1:f0,-45,0,4,587529243,64,70,1,13,16,19,21,22,22,21,20,17,15,12,9,6,4,4,6,7,9,10,11,11,11,12,11,9,0,0,0,0,0,0,0,0,0,0,0,11,12,12,12,11,11,9,8,6,4,4,4,8,11,14,17,19,20,22,22,21,19,16,13,9,5"
